Row ID,avg(density),avg(velocity (0)),avg(velocity (1)),avg(velocity (2))
181,1,0.00372078,2.23918e-06,0
182,1,0.00360744,2.17832e-06,0
183,1,0.00349755,2.11781e-06,0
184,1,0.00339101,2.05605e-06,0
185,1,0.00328772,1.99259e-06,0
186,1,0.00318757,1.92814e-06,0
187,1,0.00309048,1.86421e-06,0
188,1,0.00299635,1.80249e-06,0
189,1,0.00290508,1.74436e-06,0
190,1,0.00281659,1.69048e-06,0
191,1,0.0027308,1.64064e-06,0
192,1,0.00264761,1.59393e-06,0
193,1,0.00256696,1.54907e-06,0
194,1,0.00248877,1.50485e-06,0
195,1,0.00241296,1.46042e-06,0
196,1,0.00233946,1.41555e-06,0
197,1,0.0022682,1.37056e-06,0
198,1,0.00219911,1.3262e-06,0
199,1,0.00213213,1.28332e-06,0
200,1,0.00206718,1.24259e-06,0
201,1,0.00200422,1.20434e-06,0
202,1,0.00194317,1.16847e-06,0
203,1,0.00188397,1.1345e-06,0
204,1,0.00182658,1.10181e-06,0
205,1,0.00177094,1.06974e-06,0
