"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0.0559241,0.001889149,0,127.5,111.69,0
0.05503847,0.001891516,0,127.5,111.945,0
0.05414623,0.001893601,0,127.5,112.2,0
0.05325215,0.001895608,0,127.5,112.455,0
0.05235809,0.001897615,0,127.5,112.71,0
0.05146403,0.001899622,0,127.5,112.965,0
0.05056312,0.001901323,0,127.5,113.22,0
0.04966116,0.001902975,0,127.5,113.475,0
0.04875917,0.001904627,0,127.5,113.73,0
0.04785721,0.001906279,0,127.5,113.985,0
0.04694832,0.0019076,0,127.5,114.24,0
0.04603897,0.001908899,0,127.5,114.495,0
0.04512965,0.001910199,0,127.5,114.75,0
0.0442202,0.001911492,0,127.5,115.005,0
0.04330408,0.00191244,0,127.5,115.26,0
0.04238799,0.001913389,0,127.5,115.515,0
0.0414719,0.001914337,0,127.5,115.77,0
0.04055517,0.001915252,0,127.5,116.025,0
0.0396328,0.001915856,0,127.5,116.28,0
0.03871041,0.00191646,0,127.5,116.535,0
0.03778805,0.001917065,0,127.5,116.79,0
0.03686468,0.001917608,0,127.5,117.045,0
0.0359366,0.001917868,0,127.5,117.3,0
0.03500855,0.001918128,0,127.5,117.555,0
0.0340805,0.001918388,0,127.5,117.81,0
0.03315112,0.001918562,0,127.5,118.065,0
0.03221795,0.001918485,0,127.5,118.32,0
0.03128477,0.001918408,0,127.5,118.575,0
0.03035157,0.001918331,0,127.5,118.83,0
0.02941686,0.001918142,0,127.5,119.085,0
0.0284791,0.001917732,0,127.5,119.34,0
0.0275413,0.001917322,0,127.5,119.595,0
0.02660354,0.001916912,0,127.5,119.85,0
0.0256641,0.001916366,0,127.5,120.105,0
0.02472233,0.001915627,0,127.5,120.36,0
0.02378056,0.001914888,0,127.5,120.615,0
0.02283876,0.001914149,0,127.5,120.87,0
0.02189531,0.001913252,0,127.5,121.125,0
0.02095011,0.001912188,0,127.5,121.38,0
0.02000489,0.001911125,0,127.5,121.635,0
0.01905969,0.001910062,0,127.5,121.89,0
0.01811286,0.001908819,0,127.5,122.145,0
0.01716476,0.001907438,0,127.5,122.4,0
0.0162167,0.001906058,0,127.5,122.655,0
0.0152686,0.001904677,0,127.5,122.91,0
0.01431905,0.001903095,0,127.5,123.165,0
0.01336869,0.001901401,0,127.5,123.42,0
0.0124183,0.001899708,0,127.5,123.675,0
0.01146794,0.001898015,0,127.5,123.93,0
0.01051632,0.0018961,0,127.5,124.185,0
0.009564211,0.001894101,0,127.5,124.44,0
0.008612126,0.001892103,0,127.5,124.695,0
0.007660042,0.001890104,0,127.5,124.95,0
0.006707001,0.001887863,0,127.5,125.205,0
0.005753763,0.001885563,0,127.5,125.46,0
0.004800524,0.001883263,0,127.5,125.715,0
0.003847257,0.001880963,0,127.5,125.97,0
0.002893512,0.001878405,0,127.5,126.225,0
0.001939671,0.001875812,0,127.5,126.48,0
0.0009858582,0.001873219,0,127.5,126.735,0
3.204546e-05,0.001870627,0,127.5,126.99,0
-0.0009217959,0.001867756,0,127.5,127.245,0
-0.001875609,0.001864874,0,127.5,127.5,0
-0.002829421,0.001861992,0,127.5,127.755,0
-0.003783212,0.001859099,0,127.5,128.01,0
-0.004736479,0.001855937,0,127.5,128.265,0
-0.005689746,0.001852775,0,127.5,128.52,0
-0.006642955,0.001849613,0,127.5,128.775,0
-0.007596087,0.001846419,0,127.5,129.03,0
-0.008548204,0.001842983,0,127.5,129.285,0
-0.009500264,0.001839548,0,127.5,129.54,0
-0.01045238,0.001836112,0,127.5,129.795,0
-0.01140416,0.001832624,0,127.5,130.05,0
-0.01235449,0.001828921,0,127.5,130.305,0
-0.01330488,0.001825219,0,127.5,130.56,0
-0.01425527,0.001821516,0,127.5,130.815,0
-0.01520503,0.001817742,0,127.5,131.07,0
-0.01615307,0.00181378,0,127.5,131.325,0
-0.01710117,0.001809818,0,127.5,131.58,0
-0.01804926,0.001805855,0,127.5,131.835,0
-0.01899629,0.001801804,0,127.5,132.09,0
-0.01994152,0.001797589,0,127.5,132.345,0
-0.02088674,0.001793374,0,127.5,132.6,0
-0.02183191,0.001789159,0,127.5,132.855,0
-0.02277566,0.001784838,0,127.5,133.11,0
-0.02371746,0.001780377,0,127.5,133.365,0
-0.0246592,0.001775917,0,127.5,133.62,0
-0.02560099,0.001771456,0,127.5,133.875,0
-0.02654074,0.001766874,0,127.5,134.13,0
-0.02747847,0.001762175,0,127.5,134.385,0
-0.02841625,0.001757475,0,127.5,134.64,0
-0.02935403,0.001752776,0,127.5,134.895,0
-0.03028907,0.001747942,0,127.5,135.15,0
-0.03122228,0.001743013,0,127.5,135.405,0
-0.0321555,0.001738084,0,127.5,135.66,0
-0.03308866,0.001733156,0,127.5,135.915,0
-0.03401845,0.001728079,0,127.5,136.17,0
-0.03494653,0.001722928,0,127.5,136.425,0
-0.03587455,0.001717777,0,127.5,136.68,0
-0.03680263,0.001712626,0,127.5,136.935,0
-0.03772647,0.001707313,0,127.5,137.19,0
-0.03864886,0.001701945,0,127.5,137.445,0
-0.03957119,0.001696577,0,127.5,137.7,0
-0.04049358,0.001691209,0,127.5,137.955,0
-0.04141081,0.001685671,0,127.5,138.21,0
-0.04232687,0.001680097,0,127.5,138.465,0
-0.04324299,0.001674523,0,127.5,138.72,0
-0.04415911,0.001668948,0,127.5,138.975,0
-0.04506905,0.001663193,0,127.5,139.23,0
-0.04597839,0.001657417,0,127.5,139.485,0
-0.04688772,0.001651642,0,127.5,139.74,0
-0.047797,0.001645867,0,127.5,139.995,0
-0.04869914,0.001639902,0,127.5,140.25,0
-0.04960113,0.001633933,0,127.5,140.505,0
-0.05050306,0.001627965,0,127.5,140.76,0
-0.05140459,0.001621985,0,127.5,141.015,0
-0.05229869,0.001615832,0,127.5,141.27,0
-0.05319273,0.001609679,0,127.5,141.525,0
-0.05408683,0.001603526,0,127.5,141.78,0
-0.05497977,0.001597349,0,127.5,142.035,0
-0.05586538,0.001591017,0,127.5,142.29,0
-0.05675103,0.001584685,0,127.5,142.545,0
